quest_sleep_time_x,quest_sleep_quality_x,quest_sport_time_x,quest_meetings_x,quest_mood_x,quest_stress_x,bmr_kilocalories_x,steps_x,distance_in_meters_x,min_heart_rate_in_beats_per_minute_x,max_heart_rate_in_beats_per_minute_x,average_heart_rate_in_beats_per_minute_x,duration_in_seconds_x,awake_duration_in_seconds_x,sleep_start_hour_x,record_dates_count_x,screen_daily_count_x,screen_duration_avg_x,screen_duration_total_x,screen_threshold_x,still_ratio_x,bluetooth_distinct_names_x,screen_during_night_count_x,quest_sleep_time_y,quest_sleep_quality_y,quest_sport_time_y,quest_meetings_y,quest_mood_y,quest_stress_y,bmr_kilocalories_y,steps_y,distance_in_meters_y,min_heart_rate_in_beats_per_minute_y,max_heart_rate_in_beats_per_minute_y,average_heart_rate_in_beats_per_minute_y,duration_in_seconds_y,awake_duration_in_seconds_y,sleep_start_hour_y,record_dates_count_y,screen_daily_count_y,screen_duration_avg_y,screen_duration_total_y,screen_threshold_y,still_ratio_y,bluetooth_distinct_names_y,screen_during_night_count_y,quest_sleep_time_z,quest_sleep_quality_z,quest_sport_time_z,quest_meetings_z,quest_mood_z,quest_stress_z,bmr_kilocalories_z,steps_z,distance_in_meters_z,min_heart_rate_in_beats_per_minute_z,max_heart_rate_in_beats_per_minute_z,average_heart_rate_in_beats_per_minute_z,duration_in_seconds_z,awake_duration_in_seconds_z,sleep_start_hour_z,record_dates_count_z,screen_daily_count_z,screen_duration_avg_z,screen_duration_total_z,screen_threshold_z,still_ratio_z,bluetooth_distinct_names_z,screen_during_night_count_z,quest_sleep_time_w,quest_sleep_quality_w,quest_sport_time_w,quest_meetings_w,quest_mood_w,quest_stress_w,bmr_kilocalories_w,steps_w,distance_in_meters_w,min_heart_rate_in_beats_per_minute_w,max_heart_rate_in_beats_per_minute_w,average_heart_rate_in_beats_per_minute_w,duration_in_seconds_w,awake_duration_in_seconds_w,sleep_start_hour_w,record_dates_count_w,screen_daily_count_w,screen_duration_avg_w,screen_duration_total_w,screen_threshold_w,still_ratio_w,bluetooth_distinct_names_w,screen_during_night_count_w,risk_group
,,,,,,2025,0,0,,,,,,,88.42857143,69.35714286,306.2621783,19747,28,0.848057609,108.2857143,7,8,1,0,5,1,-1,2025,0,0,,,,,,,93.40816327,61.73469388,494.8473535,27243.40816,20.03061224,0.905369503,97.95918367,7.479591837,,,,,,,1903.142857,481,339.1428571,,,,,,,94,63.28571429,403.4611376,22867.42857,22.28571429,0.88902784,112.7857143,6.142857143,,,,,,,2025,2198.469388,1482.44898,,,,,,,80.31746032,60.68253968,408.1243803,23363.4127,22.24603175,0.831201036,88.75396825,5.603174603,medium
5.107142857,0.821428571,28.29166667,13.53571429,0.80952381,-0.535714286,1706,6710.928571,4274.642857,71.28571429,141.3571429,97,14348.57143,1234.285714,27.25714286,,,,,,,,,,,,,,,1706,5259.397959,3469.897959,62.55102041,135.6530612,89.13265306,18776.32653,1073.877551,26.35646259,,,,,,,,,,,,,,,1706,5982.928571,3824.142857,67.78571429,135.2142857,93.42857143,20301.42857,557.1428571,25.75952381,,,,,,,,,4.714285714,0.666666667,34.04761905,15.04761905,1,-0.428571429,1706,5619.436508,3562.65873,61.8968254,127.8571429,87.69047619,19985.71429,503.8095238,26.48492063,,,,,,,,,low
5.857142857,0.928571429,51.42857143,16.42857143,1,-0.857142857,1989,7779.928571,5618.785714,56,104.5,72.71428571,,,,71.35714286,71.14285714,335.3886054,21659.57143,14.71428571,0.860449517,98.5,18.28571429,5.595238095,1,65.11904762,14.16666667,0.857142857,-1,1989,9721.459184,6760.571429,55.85034014,106.3945578,73.94557823,,,,57.6122449,79.28571429,331.3568473,21865.0102,15.2755102,0.849717699,61.66326531,19.73469388,5.857142857,1,45,13.80952381,1,-1,1989,7499.571429,5374.571429,53.57142857,105.7142857,71.35714286,,,,62.64285714,70.57142857,300.0967246,19891.07143,16.5,0.892940839,78.5,18.21428571,6.095238095,0.880952381,64.88095238,14.88095238,1,-1,1989,8209.198413,5757.706349,55.8968254,107.3492063,73.47619048,,,,41.91269841,64.95238095,299.7460101,19405.92063,13.06349206,0.877816363,60.97619048,14.63492063,low
6.328571429,1.714285714,0.714285714,4.571428571,2,-2,2369.357143,5422.928571,4062.071429,41.5,110.0714286,61.71428571,23080,190,24.38611111,83.92857143,131.0714286,124.0555288,14541.28571,59.85714286,0.898507408,88.66326531,25.42857143,6.25,2,0,5.178571429,2,-2,2381,5540.653061,4195.806122,41.54081633,126.0816327,64.67346939,22244.28571,172.8571429,24.68452381,95.85714286,131.2040816,136.7284223,16574.27551,60.44897959,0.879256176,159.3061224,22.0952381,6.478571429,2,0,6.178571429,2,-2,2381,5965.785714,4470.071429,41.92857143,119,64.42857143,21313.33333,49.52380952,24.6494709,80.21428571,125.5714286,147.6495329,15528.85714,56.57142857,0.889077676,166.7857143,27.07142857,5.960714286,2,13.39285714,6.357142857,2,-2,2381,5461.125,4187.428571,42.26785714,119.1964286,64.625,22922.85714,210,24.06230159,88.61904762,122.7857143,119.1178074,13479.25397,51.98412698,0.891305482,100.6666667,27.81746032,low
7.857142857,0.035714286,64.76190476,1.714285714,-0.5,0.5,1525,6698.642857,5030.357143,50.42857143,120.9285714,71.07142857,33311.90476,372.3809524,23.66970899,93.78571429,138.9285714,135.29799,17971.42857,32.14285714,0.950903656,63.85714286,12.66666667,8,0,60,2,0.285714286,0.357142857,1525,5199.897959,4127.132653,50.17346939,117.7959184,68.2244898,34245.30612,442.0408163,23.98231293,82.76530612,161.9897959,135.3073371,21136.27551,30.28571429,0.961687701,103.6938776,13.25510204,8,-0.178571429,68.57142857,1.178571429,-0.285714286,0.285714286,1525,5581,4291.285714,51.78571429,122.2857143,70.92857143,34182.85714,707.1428571,24.1702381,95.85714286,144.9285714,156.8167702,22154.14286,28.78571429,0.976856203,76.42857143,5.285714286,,,,,,,1525,6020.301587,4481.055556,51.5952381,123.7698413,71.54761905,33716.19048,529.5238095,24.06785714,88.3015873,181.5952381,132.3323682,20325.35714,36.50793651,0.958654422,63.1031746,11.77777778,low
4.761904762,0,13.33333333,6.142857143,0.238095238,-0.761904762,,,,,,,,,,95.71428571,1.510204082,,,,0.873869288,221,,,,,,,,,,,,,,,,,95.48979592,2.25,355.1785714,423.8571429,1,0.878081207,203.755102,,4.523809524,0,10.23809524,9.285714286,-0.238095238,0,,,,,,,,,,93.71428571,,,,,0.867494352,255.5,,6,0,16.42857143,15,0.285714286,-1,,,,,,,,,,94.83333333,4.357142857,14975.84524,14998,,0.838719515,307.6666667,,medium
6.880952381,0.880952381,99.4047619,9.666666667,0.595238095,-0.619047619,1966,11942.42857,7972.5,60.33333333,118.1825397,82.95238095,,,,71.14285714,88.28571429,145.5882997,12286.5,14.64285714,0.76039927,30.97619048,22.88095238,6.285714286,0.285714286,52.85714286,4.428571429,0.642857143,-0.285714286,1894.785714,8981.520408,5498.469388,63.14285714,115.5714286,86.34693878,,,,86.55102041,83.23469388,137.8158603,10406.4898,12.82653061,0.803326216,16.94897959,18.62244898,7,1,85,12.71428571,0.857142857,-1,1924.357143,9043.714286,5952.714286,61.03968254,119.1031746,84.03968254,,,,89,91.5,121.5339679,10752.92857,16.42857143,0.827462805,26.28571429,21,7,0.857142857,50,3.142857143,0.857142857,-1,1925.52381,9147.896825,5724.246032,60.33333333,118.2063492,82.38095238,,,,69.08333333,96.8968254,133.4258966,12563.07143,16.45238095,0.835410694,23.07142857,22.45238095,medium
7,1,64.28571429,1,1,-1,1811,6704.714286,5419.285714,57.35714286,123.9285714,76.78571429,26568.21429,1125,23.48452381,75.46031746,27.07936508,341.4426483,8800.269841,3.653061224,0.837547254,37,6.816326531,7,1,72.85714286,1,1,-1,1811,7201.428571,5815.377551,57.97959184,127.5102041,79.98979592,25090,1555.714286,23.26190476,76,25.21428571,364.0723381,8600.285714,2.095238095,0.861279378,34.35714286,4.571428571,7,1,79.28571429,1,1,-1,1811,6323.928571,5128.571429,58.21428571,122.2857143,77.35714286,26640,1178.571429,23.38095238,91.07142857,29.78571429,328.4378553,8665.214286,3.952380952,0.874461337,30.92857143,4.30952381,7,1,98.57142857,1,1,-1,1828.936508,10373.6746,8326.507937,59.58730159,133.7460317,77.94444444,28590,1776.190476,24.2010582,85.9047619,34.14285714,338.1856549,8475.857143,6,0.846156411,84.23809524,6.30952381,low
7.273809524,1,0,10.86904762,1,-1,1912,7974.285714,6450.714286,53.14285714,134.6428571,74.07142857,30222.85714,321.4285714,22.15357143,56.79365079,66.14285714,350.4562147,17378.14286,13.57142857,0.707543516,5.642857143,13.57142857,7.795918367,0.401360544,0,12.14965986,1,-1,1912,7550.27551,6104.765306,51.7755102,121.4693878,72.55102041,31068.57143,551.4285714,21.97619048,78.41836735,58.05102041,449.6135816,18949.80612,15.5170068,0.798519711,7.142857143,11.71428571,7.119047619,1,0,12.57142857,1,-1,1912,6806.857143,5503.428571,53.57142857,123.0714286,73.14285714,28995.71429,369.047619,22.46481481,62.42857143,64,448.0391393,19512.64286,15,0.796605109,64.14285714,13.64285714,7.232142857,1,0,12.14285714,1,-1,1912,7720.730159,6216.738095,54,134.3809524,73.19047619,31410.95238,582.8571429,21.78373016,62.9047619,63.64285714,428.9817157,21173.50794,13.02380952,0.728054525,,13.73015873,low
6.333333333,0.523809524,21.42857143,10.28571429,1,-0.857142857,1420,6804.5,4221.428571,55.5,119.7857143,77.57142857,23554.28571,702.8571429,23.92857143,94.85714286,48.92857143,536.8177416,24167.42857,17.71428571,0.934588423,181.6428571,10.28571429,5.714285714,-0.523809524,45.71428571,8.571428571,0.714285714,-0.238095238,1420,8555.346939,5629.071429,52.18367347,128.0408163,75.80612245,26373.57143,1094.285714,24.83710317,95.30612245,38.04081633,729.4608771,24148.95918,10.54081633,0.946969813,114.0714286,8.173469388,6.523809524,1,41.9047619,9.523809524,1.523809524,-0.761904762,1388.857143,7748.714286,4773.357143,54.07142857,121.6428571,75.78571429,24468.57143,933.5714286,24.19444444,90.35714286,45.07142857,702.301232,23010.35714,15.78571429,0.924382439,207.7857143,10.5,,,,,,,1420,7133.15873,4353.936508,54.32539683,117.2539683,76.16666667,25657.14286,634.2857143,23.62777778,93.6984127,49.72222222,451.5111883,20760.06349,16.49206349,0.937711732,200.015873,11.61111111,medium
5.625,-0.089285714,130.3571429,5.017857143,0,-0.375,1886,8311.714286,5684.714286,42.14285714,111.2857143,66.5,23237.14286,111.4285714,23.46190476,60.07936508,55.64285714,209.917716,11065,14.92857143,0.885506692,218.7777778,16.42857143,6.238095238,-0.285714286,71.42857143,5,0,0.380952381,1886,6087.204082,3999.469388,43.7244898,110.7346939,64.6122449,23727.14286,234.2857143,24.27539683,57.74829932,50.30612245,304.3006712,12848.43878,14.85714286,0.936078336,158.3061224,9.724489796,6,0,42.85714286,3.952380952,-0.19047619,0.761904762,1886,5555,3722.071429,46.07142857,112.7857143,66.14285714,25731.42857,364.2857143,23.42083333,43.26190476,65.5,255.5497757,15095.07143,18.28571429,0.891398241,159.1904762,17.28571429,6.619047619,0,28.57142857,13.57142857,-0.238095238,0,1771.31746,5800.253968,3971.238095,46,109.2678571,67.76785714,25114.28571,270,23.57380952,55.10204082,69.03968254,223.7732877,13821.11905,16.04761905,0.822053902,185.4795918,18.8015873,medium
6.857142857,0.857142857,0.714285714,6.428571429,0.714285714,-0.571428571,1421,4045.785714,2735.714286,43.07142857,113.3571429,61.78571429,27483.33333,510,24.57103175,84.92857143,169.7142857,128.2951033,18361.21429,100,0.954721904,141.2142857,23.07142857,6.857142857,0.285714286,0,6,1,-0.642857143,1421,3994.816327,2654.163265,45.64285714,104.9047619,61.66666667,26875.71429,634.2857143,24.64642857,76.20408163,190.8877551,160.5313848,19483.37755,117.8571429,0.955698746,186.5816327,27.5,7.666666667,0.523809524,0,5.80952381,0.619047619,-0.380952381,1396.642857,4431.142857,2986.357143,45.85714286,107.3571429,62.07142857,27774.28571,401.4285714,24.5015873,77.33333333,157.5555556,98.50789651,15398.8254,96.19047619,0.952706088,115.3650794,27.16071429,7.375,0.964285714,0,5.142857143,1.321428571,-0.821428571,1395.214286,5355.960317,3563.952381,47.45238095,110.8650794,64.18253968,27387.61905,230.4761905,24.18068783,92.43650794,200.2539683,114.2245432,20421.62698,115.9047619,0.919563204,210.2222222,31.42063492,medium
